Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Variable_index,Variable_name
Ping_index,3657,3658,3659,3660,3661,3662,3663,3664,3665,3666,3667,3668,3669,3670,3671,3672,3673,3675,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:58,13:40:58,13:40:58,13:40:58,13:40:58,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:41:00,
Ping_milliseconds,598.0,678.0,758.0,838.0,918.0,001.0,079.0,164.0,244.0,332.0,423.0,512.0,601.0,681.0,759.0,838.0,924.0,084.0,
Range,5.2578122480,5.2352842082,5.2082925267,5.1992661090,5.1948193289,5.1874551736,5.1922090578,5.1574672899,5.1949828238,5.2114019590,5.2307252701,5.2501863406,5.2845888711,5.3398370883,5.3488525300,5.3831320635,5.4264761782,5.4892999863,
Depth,5.0994970948,5.0671206675,5.0741769029,5.0767765297,5.0975473244,5.1132156402,5.1363148279,5.1089424361,5.1315261433,5.1500654239,5.1698123282,5.1863485007,5.1902399026,5.2392948372,5.2399495924,5.2351512145,5.2444693707,5.3339263275,
41.592,-59.175270,-57.728016,-51.892047,-48.378662,-45.510915,-44.820620,-47.550419,-61.432665,-45.381922,-39.606297,-38.022366,-42.020361,-48.695885,-60.341833,-48.595334,-45.644683,-46.932925,-57.011192,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
41.836,-59.895411,-57.206330,-51.563794,-48.164631,-45.901587,-45.422110,-48.122297,-61.409875,-45.745057,-39.746698,-37.904606,-41.761364,-49.167692,-59.599581,-49.148721,-45.743511,-47.255549,-56.888887,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
42.080,-61.189022,-56.299630,-51.457957,-48.471298,-46.670093,-46.377085,-48.983581,-61.524323,-46.193588,-40.139493,-38.010650,-41.711220,-50.073180,-58.890896,-50.171171,-46.182085,-48.103083,-57.116595,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
42.324,-61.795712,-54.691619,-51.191979,-48.948203,-47.464408,-47.357498,-49.857566,-61.676703,-46.439568,-40.597652,-38.155985,-41.663644,-51.097515,-57.976354,-51.268927,-46.413122,-48.798093,-57.057925,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
42.568,-60.769015,-53.145309,-51.102109,-49.743206,-48.340474,-48.260224,-50.590795,-61.806857,-46.342181,-41.028710,-38.268529,-41.581605,-52.131621,-57.006052,-52.555903,-46.595205,-49.575469,-57.017427,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-58.419970,-52.080931,-51.458083,-50.815588,-49.321996,-48.943935,-51.100198,-61.913195,-46.034228,-41.522901,-38.452026,-41.562659,-53.062476,-56.220583,-54.027917,-46.781973,-50.375362,-57.091398,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-55.797678,-51.273711,-52.076115,-51.403673,-50.082387,-49.086141,-51.282617,-61.781979,-45.532066,-41.961564,-38.621921,-41.530935,-53.402573,-55.528493,-55.255887,-46.614768,-50.619886,-56.888464,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-53.946111,-51.204975,-53.226475,-51.250219,-50.678220,-48.844975,-51.354160,-61.398296,-45.098419,-42.424418,-38.884046,-41.618517,-53.228599,-55.180926,-56.212750,-46.417787,-50.695349,-56.738949,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-53.060054,-51.982252,-54.618966,-50.604139,-50.983734,-48.346057,-51.363586,-60.803852,-44.741505,-42.778179,-39.118535,-41.731022,-52.659524,-55.123222,-56.691665,-46.290766,-50.844639,-56.682544,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-52.702419,-53.141759,-55.378503,-49.972027,-50.918558,-47.725270,-51.352458,-60.344749,-44.619086,-43.120485,-39.390084,-41.881495,-51.975462,-55.276126,-56.525334,-46.077659,-50.836781,-56.337926,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-53.107322,-54.687510,-55.201142,-49.738778,-50.610623,-47.106183,-51.309569,-60.117866,-44.573917,-43.285380,-39.523599,-41.944788,-51.202184,-55.486452,-55.999334,-45.969210,-50.997121,-56.013504,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-54.297335,-55.952963,-54.643221,-50.212281,-50.400819,-46.799758,-51.536110,-60.593179,-44.973496,-43.674389,-39.868662,-42.218491,-50.734096,-55.931351,-55.528830,-46.122728,-51.363681,-55.787843,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-56.627003,-56.296374,-54.393582,-51.515134,-50.436617,-46.880959,-52.118959,-61.891853,-45.768690,-44.271617,-40.385159,-42.677804,-50.580691,-56.520200,-55.394174,-46.674360,-52.148387,-55.895720,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
44.766,-60.483543,-55.742667,-54.500290,-53.476066,-50.464916,-47.053867,-52.826224,-63.895650,-46.509210,-44.647758,-40.628852,-42.909154,-50.317557,-56.775534,-55.455830,-47.407748,-53.281629,-56.233544,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
45.010,-66.713411,-54.470647,-54.623423,-56.063780,-50.148305,-47.044149,-53.580127,-67.064509,-47.022579,-44.638110,-40.387146,-42.648368,-49.644764,-56.279863,-55.370340,-47.835624,-54.264191,-56.179422,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
