Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Variable_index,Variable_name
Ping_index,2605,2606,2607,2608,2609,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2621,2622,2623,2624,2625,2626,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:26,13:39:26,13:39:26,
42.568,-56.469465,-50.686111,-54.037822,-52.709376,-50.802810,-48.535942,-49.786890,-51.812804,-46.878062,-47.172025,-51.121858,-49.252896,-47.323660,-50.168323,-47.032884,-50.297943,-59.758456,-52.947145,-52.937032,-49.998761,-60.214470,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-53.785929,-49.266693,-52.749453,-51.735150,-49.897541,-47.795347,-49.469087,-50.442829,-45.850454,-47.121300,-50.489864,-48.011797,-46.519309,-49.590034,-46.248797,-48.740155,-58.985654,-55.554452,-53.158661,-52.431642,-59.929399,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-51.406818,-47.794973,-51.440198,-50.960250,-49.045915,-47.308555,-49.083584,-49.127514,-45.112211,-47.117465,-49.801020,-46.984394,-45.866115,-49.181550,-45.303006,-46.983710,-59.422821,-53.234599,-54.111577,-55.287895,-56.514872,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-49.779110,-46.752395,-50.463659,-50.641624,-48.534711,-47.279650,-48.812971,-48.120721,-44.822589,-47.292847,-49.285453,-46.379994,-45.543783,-49.101695,-44.517350,-45.548307,-58.658726,-50.601738,-56.479940,-56.661497,-54.784437,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-48.971459,-46.266190,-49.861517,-50.701998,-48.362468,-47.625749,-48.598511,-47.378107,-44.865215,-47.515920,-48.860881,-46.094741,-45.428290,-49.226637,-43.846855,-44.539002,-55.240285,-49.446111,-61.358220,-55.431867,-55.060792,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-48.642799,-46.076054,-49.561438,-51.010042,-48.468373,-48.277840,-48.484696,-46.964669,-45.295440,-47.890300,-48.675560,-46.225885,-45.627397,-49.617016,-43.500207,-44.133840,-51.844474,-49.916825,-77.578033,-54.154283,-57.293007,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-48.975051,-46.327231,-49.549613,-51.378981,-48.789446,-49.070817,-48.353443,-46.697565,-45.853215,-48.161964,-48.470354,-46.485728,-45.840373,-49.991924,-43.153659,-44.121457,-49.314378,-51.858195,-64.589665,-54.088996,-63.469196,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-50.071506,-47.093366,-50.037782,-51.931275,-49.532091,-50.202943,-48.521908,-46.879124,-46.835844,-48.709703,-48.645626,-47.204592,-46.429349,-50.655115,-43.244493,-44.907425,-47.810101,-55.971164,-58.354923,-55.593902,-67.479678,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-52.259668,-48.500449,-51.053923,-52.543934,-50.668652,-51.584580,-48.964933,-47.438366,-48.110723,-49.442776,-49.099525,-48.227455,-47.244662,-51.470848,-43.612657,-46.491756,-47.157537,-56.749619,-55.628601,-59.546206,-57.568484,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.766,-55.893937,-50.340940,-52.237233,-52.722546,-51.758747,-52.727977,-49.251776,-47.910639,-49.121566,-49.828472,-49.270581,-48.933090,-47.652392,-51.884391,-43.566446,-48.570008,-46.850383,-50.861678,-53.955502,-69.902764,-53.094729,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
45.010,-62.145106,-52.017499,-53.094461,-52.026517,-52.276547,-53.213098,-49.094984,-48.050575,-49.561366,-49.614769,-48.889065,-48.932504,-47.265407,-51.615363,-42.700512,-51.576354,-46.495442,-45.373913,-52.297535,-62.801698,-49.950073,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
