Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Variable_index,Variable_name
Ping_index,1307,1308,1309,1310,1311,1312,1313,1314,1315,1316,1317,1318,1319,1320,1321,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:24,13:37:24,13:37:24,13:37:24,13:37:24,13:37:24,
Ping_milliseconds,252.0,348.0,430.0,526.0,612.0,701.0,788.0,873.0,961.0,052.0,136.0,222.0,308.0,394.0,480.0,
Range,8.9044479565,8.8519874628,8.8611405648,8.8235403406,8.8205703262,8.8191624261,8.8161369995,8.8221323319,8.8221083309,8.8265168277,8.8430018332,8.8609877512,8.8728447669,8.9121199927,8.9526113415,
Depth,8.6536463937,8.6171476319,8.6102476399,8.6305779992,8.6964841913,8.6915364135,8.6978392778,8.7217949666,8.7364000389,8.7511895038,8.7748068999,8.7629774567,8.7794253845,8.8022429580,8.8385360194,
42.568,-56.361884,-55.697893,-59.090181,-55.431443,-58.651957,-55.491639,-55.820997,-55.955587,-55.730793,-57.551499,-55.340871,-58.095169,-55.155192,-52.644775,-60.580120,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-56.280651,-55.814075,-57.892728,-55.013124,-58.591772,-55.335638,-55.881525,-55.751745,-55.281679,-57.351229,-54.883062,-57.616292,-54.491923,-52.764863,-60.451941,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-55.910346,-56.082710,-56.394587,-54.466785,-58.445366,-55.232905,-55.926364,-55.525927,-54.920927,-57.053824,-54.591086,-56.827452,-53.984103,-53.056583,-59.640848,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-55.830385,-56.918795,-55.196072,-54.073467,-58.390247,-55.352966,-56.063104,-55.424306,-54.797717,-56.800178,-54.600920,-56.028873,-53.771040,-53.654692,-58.948711,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-56.282637,-58.398765,-54.514695,-53.832472,-58.371691,-55.600441,-56.162372,-55.367384,-54.823663,-56.543617,-54.824102,-55.286170,-53.759948,-54.429966,-58.601176,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-56.723867,-60.066201,-54.038938,-53.784466,-58.316285,-56.015420,-56.250283,-55.433087,-55.021927,-56.372039,-55.254178,-54.723682,-53.949231,-55.356168,-58.712323,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-57.578667,-61.817686,-53.983275,-53.825170,-58.232599,-56.375318,-56.156016,-55.439909,-55.222968,-56.176401,-55.729551,-54.223258,-54.199248,-56.201844,-59.013993,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-58.683736,-62.924025,-54.329009,-54.255294,-58.384188,-56.955905,-56.203591,-55.697037,-55.698099,-56.271408,-56.474422,-54.081029,-54.778244,-57.203203,-59.746461,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-60.282780,-62.885112,-55.179903,-55.040911,-58.844072,-57.630564,-56.348759,-56.117988,-56.378634,-56.621471,-57.405700,-54.236722,-55.647360,-58.264674,-60.770651,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.766,-62.325531,-61.903859,-56.289656,-55.710715,-59.327963,-57.849956,-56.137597,-56.210957,-56.815857,-56.813639,-58.086786,-54.243653,-56.399526,-58.923106,-61.571826,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
45.010,-63.801017,-60.058267,-56.878583,-55.837304,-59.563057,-57.267100,-55.300533,-55.710157,-56.751154,-56.644515,-58.276972,-53.851063,-56.795455,-58.923160,-61.845153,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
